audio_id,Audio file name
25690,Rain_Slovenia_Edge_of_Lake-earth-experience.com_.mp3
25711,earth-fm_George-Vlad_Massive-Thunderstorm-Approaching-in-the-Amazon-Rainforest.mp3
25668,earth-fm_George-Vlad_The-sounds-of-Mayan-ruins.mp3
25683,Swamp_at_river_edge-earth-experience.com_.mp3
25462,EarthFM-Amazon-Nick-McMahan_Final_.mp3
25603,earth-fm_George-Vlad_Madagascar-Dry-Forest-Sounds.mp3
25581,earth-fm_Veronica-Cerrotta_waterfall.mp3
25513,earth-fm_George-Vlad_Dawn-in-Madagascar-rainforest-Nature-sounds-320kbps.mp3
25504,earth-fm_George-Vlad_Cold-rain-in-Madagascar_s-cloud-forest-Nature-sounds-320kbps.mp3
24547,earth-fm_Khristos_2022.09.11-First-Stirrings-of-First-Light-in-a-Pine-Forest_3.mp3
24326,earth-fm_khristos-nizamis_2019.09.25-Dawn-at-Tapanappa-Creek-in-Early-Spring.mp3
24254,earth-fm_Khristos-N_Mallee-Dawn-in-Spring_EDIT.mp3
24184,earth-fm_Kelly-Rafuse_North-Fork-Sacramento-River-Meadow-Stream-Dawn-A.mp3
24098,earthfm_Melissa_Ivarsbo_dawn-chorus-of-Spring-in-a-Swedish-Forest-1.mp3
22968,Amieira_Dawn_Forest-1.mp3
22936,Colombian-Amazon-Rainforest-Late-Afternoon-earth-experience.com_192.mp3
22935,Colombian-Amazon-Rainforest-Early-Morning-earth-experience.com_192.mp3
22561,earth-fm_George-Vlad_Thunderstorm-and-high-winds-on-the-Sanetti-plateau-in-Ethiopia_EDIT.mp3
22560,earth-fm_George-Vlad_The-weird-and-fascianting-sound-of-empress-cicada-rainforest-sounds_EDIT.mp3
22559,earth-fm_George-Vlad_Serengeti-sounds-Lions-and-hippos-calling-in-the-African-Savanna_EDIT.mp3
22558,earth-fm_George-Vlad_Pure-Sound-of-rain-in-the-forest_EDIT.mp3
22557,earth-fm_George-Vlad_Italian-countryside-sounds_EDIT.mp3
22556,earth-fm_George-Vlad_Epic-thunderstorm-over-Johannesburg_EDIT.mp3
22555,earth-fm_George-Vlad_chromatic-rain-in-the-Namib-desert_EDIT.mp3
22554,earth-fm_George-Vlad_Cave-sounds-Bats-in-the-cenote_EDIT.mp3
22562,earth-fm_George-Vlad_What-does-an-active-volcano-sound-like_EDIT.mp3
22563,earth-fm_George-Vlad_African-savanna-sounds-Call-of-the-owl_EDIT-1h.mp3
22549,Thrush_-nightingale_1_Hour_Recording.mp3
22531,8b_Australia_Cape_York_Wetland_Night.mp3
22530,5b_Australia_Outback_Dawn.mp3
22521,10_Sweden_Pine_Forest.mp3
22520,9_Sarawak_Lowland_Rainforest.mp3
22518,7_Sweden_Mountain_Valley.mp3
22517,6_Spain_Pinsapo_Forest_Dawn.mp3
22516,4_Tasmania_Old_Growth_Forest.mp3
22515,3_Borneo_Maliau_Basin_Rainforest_Night.mp3
22514,2_Malaysia_Merapoh_Rainforest_Night.mp3
22513,1_Nepal_Langtang_River.mp3
22076,Windy-mountains-in-Gornja-Gracenica.mp3
24528,earth-fm_Marko-Jarovski_Storm-in-Velebit-Mountain.mp3
24528,earth-fm_Marko-Jarovski_Storm-in-Velebit-Mountain.mp3
22067,Creek-and-birds-in-Zagreb.mp3
22066,Crackly-campifire-in-Voloderac.mp3
22063,22-Dawn-some-insects-birds-distant-sea-waves-Trindade-Brazil.mp3
22062,21-River-mid-intensity-night-lots-of-insects-Trindade-Brazil.mp3
22061,20-Night-insects-distant-sea-big-waves-Trindade-Brazil.mp3
22059,19-Night-fire-bonfire-distant-crickets-a-few-birds.mp3
22060,18-Ambience-night-savanna-valley-Insects-crickets-cicadas-leaves-Guacoyo-indigenous-reservation-Meta-Colombia.mp3
22860,Nico-Gutierrez_14-Afternoon_birds-cicadas-criclets-wind-trees-river-branches_Guacoyo-Melta-Colmbia_EDITED.mp3
22056,15-Afternoon-6pm-cicadas-crickets-branches-falling-Guacoyo-indigenous-reservation-Meta-Colombia.mp3
22055,14-Afternoon-4pm-birds-cicadas-crickets-wind-over-trees-branches-falling-distant-river-Guacoyo-indigenous-reservation-Meta-Colombia.mp3
22031,Australia-Bushland-Afternoon.mp3
22032,Australia-Tall-Eucalypt-Forest.mp3
22030,Australia-Alpine-Woodland.mp3
22078,Java-Mountain-Stream-at-Night.mp3
22040,Thailand-Wetland.mp3
22039,Thailand-Tropical-Woodland.mp3
22038,Thailand-Rainforest-Night.mp3
22037,Javas-Last-Rainforests.mp3
22033,Australias-Cloud-Forest.mp3
22034,Evening-in-the-mountains-of-Thailand.mp3
21669,Rainforest-sounds-Calm-creek-in-the-jungle.mp3
21655,Dark-night-in-the-Amazon-rainforest-Jungle-sounds.mp3
21658,Dusk-by-the-river-in-the-Amazon-rainforest-Jungle-sounds.mp3
21650,Beautiful-birdsong-in-the-African-savanna.mp3
21670,Rainforest-sounds-calm-morning-at-riverbed-in-the-Borneo-jungle.mp3
21654,Calm-rain-in-the-Amazon-jungle-rainforest-sounds.mp3
21651,Borneo-rainforest-afternoon-soundscape-in-the-jungle.mp3
